country,code,val
Singapore,SGP,2.8571428571
Sint Maarten (Dutch part),SXM,
Slovak Republic,SVK,40.195466833
Slovenia,SVN,62.2144985104
Solomon Islands,SLB,79.0639514112
Somalia,SOM,10.7549335289
South Africa,ZAF,4.6654096025
South Sudan,SSD,
Spain,ESP,36.4334402566
Sri Lanka,LKA,29.6603412534
St. Kitts and Nevis,KNA,42.3076923077
St. Lucia,LCA,77.0491803279
St. Martin (French part),MAF,
St. Vincent and the Grenadines,VCT,69.2307692308
Sudan,SDN,29.4398148148
Suriname,SUR,94.6025641026
Swaziland,SWZ,32.7325581395
Sweden,SWE,68.7308085977
Switzerland,CHE,31
Syrian Arab Republic,SYR,2.6738550346
Tajikistan,TJK,2.9294084024
Tanzania,TZA,37.7376382931
Thailand,THA,37.1351954432
Timor-Leste,TLS,49.8991257566
Togo,TGO,5.2767052767
Tonga,TON,12.5
Trinidad and Tobago,TTO,44.0545808967
Tunisia,TUN,6.4752832132
Turkey,TUR,14.726556917
Turkmenistan,TKM,8.782159045
Turks and Caicos Islands,TCA,35.7894736842
Tuvalu,TUV,33.3333333333
Uganda,UGA,14.9542064962
Ukraine,UKR,16.7523993648
United Arab Emirates,ARE,3.7918660287
United Kingdom,GBR,11.9084032571
United States,USA,33.2358194988
Uruguay,URY,9.9645754771
Uzbekistan,UZB,7.7009873061
Vanuatu,VUT,36.0951599672
"Venezuela, RB",VEN,52.4630123009
Vietnam,VNM,44.4964040378
Virgin Islands (U.S.),VIR,57.1428571429
West Bank and Gaza,PSE,1.4950166113
"Yemen, Rep.",YEM,1.0398318086
Zambia,ZMB,66.5438060776
Zimbabwe,ZWE,40.3877471888
